
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F178|Tympanuchus pallidicinctus|C1|Female|Juvenile|Texas|725|SSOPR|Southern|4/6/08|2008|
|F180|Tympanuchus pallidicinctus|B4|Male|Juvenile|Texas|761|SSOPR|Southern|3/24/09|2009|
|F182|Tympanuchus pallidicinctus|C1|Male|Adult|Texas|825|SSOPR|Southern|4/7/08|2008|
|F183|Tympanuchus pallidicinctus|B2|Male|Adult|Texas|820|SSOPR|Southern|3/18/09|2009|
|F184|Tympanuchus pallidicinctus|TNCW1|Female|Adult|Texas|710|SSOPR|Southern|3/21/09|2009|
|F185|Tympanuchus pallidicinctus|TNC1|Male|Adult|Texas|740|SSOPR|Southern|3/5/09|2009|
|F188|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|751|SSOPR|Southern|4/12/09|2009|
|F189|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|812|SSOPR|Southern|3/31/09|2009|
|F192|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|723|SSOPR|Southern|4/16/09|2009|
|F193|Tympanuchus pallidicinctus|TNCW1|Male|Adult|Texas|742|SSOPR|Southern|3/22/09|2009|
|F194|Tympanuchus pallidicinctus|B4|Male|Juvenile|Texas|814|SSOPR|Southern|3/22/09|2009|
|F196|Tympanuchus pallidicinctus|B4|Male|Juvenile|Texas|906|SSOPR|Southern|3/19/09|2009|
|F198|Tympanuchus pallidicinctus|TNC1|Male|Adult|Texas|754|SSOPR|Southern|3/10/09|2009|
|F199|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|712|SSOPR|Southern|3/30/09|2009|
|F19|Tympanuchus pallidicinctus|SandRanch82|Male|Juvenile|New Mexico||SSOPR|Southern|5/13/19|2019|
|F1|Tympanuchus pallidicinctus|Beasley5B|Male|Adult|Texas||SSOPR|Southern|4/2/19|2019|
|F200|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|765|SSOPR|Southern|4/15/09|2009|
|F201|Tympanuchus pallidicinctus|R8/RW2|Male|Juvenile|Texas|665|SSOPR|Southern|6/5/09|2009|
|F202|Tympanuchus pallidicinctus|TNC10|Male|Juvenile|Texas|808|SSOPR|Southern|4/27/09|2009|
|F203|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|811|SSOPR|Southern|4/5/09|2009|
|F204|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|721|SSOPR|Southern|4/16/09|2009|
|F206|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|737|SSOPR|Southern|4/14/09|2009|
|F208|Tympanuchus pallidicinctus|TNC10|Male|Adult|Texas|764|SSOPR|Southern|4/17/09|2009|
|F209|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|755|SSOPR|Southern|4/4/09|2009|
|F20|Tympanuchus pallidicinctus|B2|Male|Adult|Texas|725|SSOPR|Southern|4/19/19|2019|
|F210|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|680|SSOPR|Southern|4/2/09|2009|
|F212|Tympanuchus pallidicinctus|TNC10|Male|Adult|Texas|769|SSOPR|Southern|4/19/09|2009|
|F213|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|667|SSOPR|Southern|4/25/09|2009|
|F214|Tympanuchus pallidicinctus|B4|Male|Adult|Texas|816|SSOPR|Southern|3/23/09|2009|
|F216|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|877|SSOPR|Southern|4/5/09|2009|
|F217|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|718|SSOPR|Southern|4/12/09|2009|
|F218|Tympanuchus pallidicinctus|R2|Female|Juvenile|Texas|742|SSOPR|Southern|4/9/09|2009|
|F219|Tympanuchus pallidicinctus|TNC1|Female|Juvenile|Texas|725|SSOPR|Southern|4/23/09|2009|
|F21|Tympanuchus pallidicinctus|SandRanch82|Male|Juvenile|New Mexico||SSOPR|Southern|5/11/19|2019|
|F221|Tympanuchus pallidicinctus|TNC1|Female|Adult|Texas|720|SSOPR|Southern|4/20/09|2009|
|F222|Tympanuchus pallidicinctus|TNC1|Male|Adult|Texas|777|SSOPR|Southern|4/18/09|2009|
|F223|Tympanuchus pallidicinctus|R8/RW2|Male|Adult|Texas|716|SSOPR|Southern|5/27/09|2009|
|F224|Tympanuchus pallidicinctus|R8/RW2|Male|Adult|Texas|715|SSOPR|Southern|6/6/09|2009|
|F225|Tympanuchus pallidicinctus|R8/RW2|Male|Adult|Texas|721|SSOPR|Southern|6/8/09|2009|
|F226|Tympanuchus pallidicinctus|R8/RW2|Male|Adult|Texas|639|SSOPR|Southern|5/27/09|2009|
