
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F443|Tympanuchus pallidicinctus|PARSON|Male||Kansas|765|SHGPR|Northern|4/7/13|2013|
|F445|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|835|SHGPR|Northern|4/8/13|2013|
|F446|Tympanuchus pallidicinctus|MIDDLE|Female|Adult|Kansas|760|MGPR|Northern|4/8/13|2013|
|F447|Tympanuchus pallidicinctus|PRAIRIE DOG|Female|Juvenile|Kansas|675|SHGPR|Northern|4/8/13|2013|
|F448|Tympanuchus pallidicinctus|PRAIRIE DOG|Female|Juvenile|Kansas|650|SHGPR|Northern|4/8/13|2013|
|F449|Tympanuchus pallidicinctus|FLEMING 1|Female|Juvenile|Kansas|754|SHGPR|Northern|4/8/13|2013|
|F450|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Adult|Kansas|960|SHGPR|Northern|4/9/13|2013|
|F451|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Juvenile|Kansas|745|SHGPR|Northern|4/11/13|2013|
|F452|Tympanuchus pallidicinctus|EAST 2|Female|Juvenile|Kansas|645|MGPR|Northern|4/11/13|2013|
|F453|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|645|MGPR|Northern|4/11/13|2013|
|F454|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|720|MGPR|Northern|4/11/13|2013|
|F456|Tympanuchus pallidicinctus|EAST 2|Female|Adult|Kansas|710|MGPR|Northern|4/11/13|2013|
|F457|Tympanuchus pallidicinctus|LIEBL|Male|Adult|Kansas|780|MGPR|Northern|4/11/13|2013|
|F458|Tympanuchus pallidicinctus|EAST YORK|Male|Adult|Kansas|785|SHGPR|Northern|4/12/13|2013|
|F459|Tympanuchus pallidicinctus|PRAIRIE DOG|Female|Juvenile|Kansas|805|SHGPR|Northern|4/12/13|2013|
|F45|Tympanuchus pallidicinctus|SandRanch45|Male||New Mexico||SSOPR|Southern|4/19/19|2019|
|F460|Tympanuchus pallidicinctus|PRAIRIE DOG|Female|Juvenile|Kansas|715|SHGPR|Northern|4/12/13|2013|
|F461|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Juvenile|Kansas|755|SHGPR|Northern|4/13/13|2013|
|F463|Tympanuchus pallidicinctus|EAST YORK|Male|Juvenile|Kansas|805|SHGPR|Northern|4/13/13|2013|
|F465|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|810|SHGPR|Northern|4/14/13|2013|
|F466|Tympanuchus pallidicinctus|RUDZICK|Male|Adult|Kansas|800|SHGPR|Northern|4/14/13|2013|
|F467|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|760|MGPR|Northern|4/15/13|2013|
|F468|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|725|MGPR|Northern|4/15/13|2013|
|F469|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|640|MGPR|Northern|4/15/13|2013|
|F471|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|715|MGPR|Northern|4/15/13|2013|
|F472|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|695|MGPR|Northern|4/15/13|2013|
|F473|Tympanuchus pallidicinctus|SWART|Male|Adult|Kansas|830|SHGPR|Northern|4/16/13|2013|
|F474|Tympanuchus pallidicinctus|SCHOOLHOUSE|Male|Adult|Kansas|780|SHGPR|Northern|4/17/13|2013|
|F475|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|730|MGPR|Northern|4/19/13|2013|
|F476|Tympanuchus pallidicinctus|SHARP|Male|Adult|Kansas|760|SHGPR|Northern|4/19/13|2013|
|F477|Tympanuchus pallidicinctus|NE BEOUGHER|Female|Juvenile|Kansas|820|SHGPR|Northern|4/20/13|2013|
|F478|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Juvenile|Kansas|790|SHGPR|Northern|4/21/13|2013|
|F479|Tympanuchus pallidicinctus|N BOXCAR|Male|Juvenile|Kansas|680|MGPR|Northern|4/21/13|2013|
|F480|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Juvenile|Kansas|810|SHGPR|Northern|4/21/13|2013|
|F481|Tympanuchus pallidicinctus|PRAIRIE DOG|Male|Juvenile|Kansas|730|SHGPR|Northern|4/22/13|2013|
|F482|Tympanuchus pallidicinctus|PRAIRIE DOG|Male|Juvenile|Kansas|690|SHGPR|Northern|4/22/13|2013|
|F483|Tympanuchus pallidicinctus|PRAIRIE DOG|Male|Adult|Kansas|760|SHGPR|Northern|4/22/13|2013|
|F484|Tympanuchus pallidicinctus|SHARP|Male|Juvenile|Kansas|765|SHGPR|Northern|4/22/13|2013|
|F486|Tympanuchus pallidicinctus|N BOXCAR|Female|Adult|Kansas|750|MGPR|Northern|4/24/13|2013|
|F487|Tympanuchus pallidicinctus|EAST YORK|Male|Juvenile|Kansas|741|SHGPR|Northern|4/24/13|2013|
|F488|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Juvenile|Kansas|730|SHGPR|Northern|4/24/13|2013|
|F489|Tympanuchus pallidicinctus|LIEBL|Male|Juvenile|Kansas|725|MGPR|Northern|4/24/13|2013|
|F490|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|635|MGPR|Northern|4/25/13|2013|
|F491|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|800|SHGPR|Northern|4/26/13|2013|
|F492|Tympanuchus pallidicinctus|SCHOOLHOUSE|Male|Adult|Kansas|850|SHGPR|Northern|4/26/13|2013|
|F493|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Juvenile|Kansas|710|SHGPR|Northern|4/28/13|2013|
|F494|Tympanuchus pallidicinctus|PRAIRIE DOG|Female|Juvenile|Kansas|645|SHGPR|Northern|4/28/13|2013|
|F495|Tympanuchus pallidicinctus|N BOXCAR|Male|Juvenile|Kansas|710|MGPR|Northern|4/30/13|2013|
|F497|Tympanuchus pallidicinctus|FLEMING 3|Male|Juvenile|Kansas|730|SHGPR|Northern|4/30/13|2013|
|F499|Tympanuchus pallidicinctus|LIEBL|Male|Juvenile|Kansas|760|MGPR|Northern|5/10/13|2013|
|F501|Tympanuchus pallidicinctus|GAR 6|Male|Adult|Kansas|700|MGPR|Northern|3/13/14|2014|
|F502|Tympanuchus pallidicinctus|GAR 6|Male|Adult|Kansas|705|MGPR|Northern|3/13/14|2014|
|F504|Tympanuchus pallidicinctus|FLEMING 1|Male|Juvenile|Kansas|760|SHGPR|Northern|3/15/14|2014|
|F505|Tympanuchus pallidicinctus|GAR 6|Male|Adult|Kansas|765|MGPR|Northern|3/15/14|2014|
|F506|Tympanuchus pallidicinctus|GAR 5|Male|Juvenile|Kansas|815|MGPR|Northern|3/15/14|2014|
|F507|Tympanuchus pallidicinctus|GAR 5|Male|Juvenile|Kansas|732|MGPR|Northern|3/15/14|2014|
|F508|Tympanuchus pallidicinctus|FLEMING 3|Male|Juvenile|Kansas|825|SHGPR|Northern|3/17/14|2014|
|F509|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|745|SHGPR|Northern|3/17/14|2014|
|F510|Tympanuchus pallidicinctus|GAR 10|Male|Adult|Kansas|815|MGPR|Northern|3/17/14|2014|
|F511|Tympanuchus pallidicinctus|GAR 9|Male|Adult|Kansas|710|MGPR|Northern|3/17/14|2014|
|F512|Tympanuchus pallidicinctus|LIEBL|Male|Adult|Kansas|800|MGPR|Northern|3/17/14|2014|
|F513|Tympanuchus pallidicinctus|FLEMING 1|Male|Adult|Kansas|695|SHGPR|Northern|3/18/14|2014|
|F515|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|855|MGPR|Northern|3/19/14|2014|
|F516|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|760|MGPR|Northern|3/19/14|2014|
|F517|Tympanuchus pallidicinctus|WINDMILL|Male|Juvenile|Kansas|725|MGPR|Northern|3/19/14|2014|
|F518|Tympanuchus pallidicinctus|WINDMILL|Male|Juvenile|Kansas|820|MGPR|Northern|3/19/14|2014|
|F519|Tympanuchus pallidicinctus|WINDMILL|Male|Juvenile|Kansas||MGPR|Northern|3/19/14|2014|
|F520|Tympanuchus pallidicinctus|LIEBL|Male|Adult|Kansas|740|MGPR|Northern|3/19/14|2014|
|F521|Tympanuchus pallidicinctus|FLEMING 3|Male|Juvenile|Kansas|725|SHGPR|Northern|3/19/14|2014|
|F522|Tympanuchus pallidicinctus|GAR 10|Male|Juvenile|Kansas|787|MGPR|Northern|3/20/14|2014|
|F523|Tympanuchus pallidicinctus|LIEBL|Male|Adult|Kansas|774|MGPR|Northern|3/20/14|2014|
|F525|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Juvenile|Kansas|800|SHGPR|Northern|3/21/14|2014|
|F526|Tympanuchus pallidicinctus|EAST YORK|Male|Adult|Kansas|778|SHGPR|Northern|3/21/14|2014|
|F527|Tympanuchus pallidicinctus|GAR 10|Male|Juvenile|Kansas|710|MGPR|Northern|3/22/14|2014|
|F528|Tympanuchus pallidicinctus|GAR 4|Male|Adult|Kansas|855|MGPR|Northern|3/22/14|2014|
|F529|Tympanuchus pallidicinctus|GAR 4|Male|Adult|Kansas|780|MGPR|Northern|3/22/14|2014|
|F530|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|685|SHGPR|Northern|3/23/14|2014|
|F531|Tympanuchus pallidicinctus|YOUNKIN|Male|Adult|Kansas|756|SHGPR|Northern|3/23/14|2014|
|F532|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|740|SHGPR|Northern|3/23/14|2014|
|F534|Tympanuchus pallidicinctus|LIEBL|Male|Juvenile|Kansas|715|MGPR|Northern|3/23/14|2014|
|F535|Tympanuchus pallidicinctus|FLEMING 3|Female|Adult|Kansas|720|SHGPR|Northern|3/24/14|2014|
|F536|Tympanuchus pallidicinctus|FLEMING 3|Female|Juvenile|Kansas|740|SHGPR|Northern|3/24/14|2014|
|F539|Tympanuchus pallidicinctus|GAR 4|Male|Adult|Kansas|790|MGPR|Northern|3/24/14|2014|
|F540|Tympanuchus pallidicinctus|GAR 10|Male|Juvenile|Kansas|750|MGPR|Northern|3/24/14|2014|
|F541|Tympanuchus pallidicinctus|GAR 8|Male|Adult|Kansas|755|MGPR|Northern|3/25/14|2014|
|F542|Tympanuchus pallidicinctus|GAR 8|Male|Adult|Kansas|795|MGPR|Northern|3/25/14|2014|
|F543|Tympanuchus pallidicinctus|MIDDLE|Male|Juvenile|Kansas|785|MGPR|Northern|3/26/14|2014|
|F544|Tympanuchus pallidicinctus|ABELL EAST|Male|Adult|Kansas|859|SHGPR|Northern|3/27/14|2014|
|F545|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|755|SHGPR|Northern|3/27/14|2014|
|F546|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Juvenile|Kansas|755|SHGPR|Northern|3/27/14|2014|
|F547|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Female|Juvenile|Kansas|645|SHGPR|Northern|3/27/14|2014|
|F548|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Juvenile|Kansas|690|SHGPR|Northern|3/27/14|2014|
|F549|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Juvenile|Kansas|795|SHGPR|Northern|3/28/14|2014|
|F550|Tympanuchus pallidicinctus|EAST 2|Female|Juvenile|Kansas|675|MGPR|Northern|3/28/14|2014|
|F551|Tympanuchus pallidicinctus|GAR 4|Female|Juvenile|Kansas|700|MGPR|Northern|3/29/14|2014|
|F552|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|725|MGPR|Northern|3/29/14|2014|
|F554|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Female|Juvenile|Kansas|730|SHGPR|Northern|3/30/14|2014|
|F555|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|765|SHGPR|Northern|3/30/14|2014|
|F556|Tympanuchus pallidicinctus|GAR 6|Male|Adult|Kansas|720|MGPR|Northern|3/30/14|2014|
|F557|Tympanuchus pallidicinctus|GAR 6|Male|Juvenile|Kansas|740|MGPR|Northern|3/30/14|2014|
|F558|Tympanuchus pallidicinctus|BUCKEYE|Male|Adult|Colorado|770|SSBPR|Northern|4/1/14|2014|
|F559|Tympanuchus pallidicinctus|GAR 5|Female|Juvenile|Kansas|740|MGPR|Northern|4/1/14|2014|
|F560|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|778|MGPR|Northern|4/1/14|2014|
|F561|Tympanuchus pallidicinctus|GAR 6|Female|Juvenile|Kansas|685|MGPR|Northern|4/2/14|2014|
|F562|Tympanuchus pallidicinctus|BOXCAR|Female|Adult|Kansas|685|MGPR|Northern|4/2/14|2014|
|F563|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Adult|Kansas|770|SHGPR|Northern|4/4/14|2014|
|F564|Tympanuchus pallidicinctus|NE BEOUGHER|Female|Adult|Kansas|655|SHGPR|Northern|4/4/14|2014|
|F565|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Juvenile|Kansas|795|SHGPR|Northern|4/4/14|2014|
|F566|Tympanuchus pallidicinctus|FLEMING 1|Female|Juvenile|Kansas|845|SHGPR|Northern|4/4/14|2014|
|F567|Tympanuchus pallidicinctus|S. DOG TOWN|Male|Adult|Kansas|805|MGPR|Northern|4/4/14|2014|
|F568|Tympanuchus pallidicinctus|S. DOG TOWN|Male|Juvenile|Kansas|820|MGPR|Northern|4/4/14|2014|
|F569|Tympanuchus pallidicinctus|GAR 9|Male|Juvenile|Kansas|810|MGPR|Northern|4/4/14|2014|
|F570|Tympanuchus pallidicinctus|GAR 10|Male|Juvenile|Kansas|810|MGPR|Northern|4/4/14|2014|
|F571|Tympanuchus pallidicinctus|GAR 9|Female|Juvenile|Kansas|700|MGPR|Northern|4/4/14|2014|
|F572|Tympanuchus pallidicinctus|GAR 6|Female|Juvenile|Kansas|700|MGPR|Northern|4/4/14|2014|
|F573|Tympanuchus pallidicinctus|GAR 11|Female|Juvenile|Kansas|785|MGPR|Northern|4/5/14|2014|
|F574|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|692|MGPR|Northern|4/5/14|2014|
|F575|Tympanuchus pallidicinctus|FLEMING 3|Female|Adult|Kansas|770|SHGPR|Northern|4/5/14|2014|
|F576|Tympanuchus pallidicinctus|FLEMING 3|Female|Juvenile|Kansas|725|SHGPR|Northern|4/5/14|2014|
|F577|Tympanuchus pallidicinctus|FLEMING 3|Female|Juvenile|Kansas|700|SHGPR|Northern|4/5/14|2014|
|F578|Tympanuchus pallidicinctus|FLEMING 3|Female|Juvenile|Kansas|695|SHGPR|Northern|4/5/14|2014|
|F579|Tympanuchus pallidicinctus|GAR 11|Male|Juvenile|Kansas|740|MGPR|Northern|4/5/14|2014|
|F580|Tympanuchus pallidicinctus|GAR 11|Male|Juvenile|Kansas|810|MGPR|Northern|4/5/14|2014|
|F581|Tympanuchus pallidicinctus|GAR 11|Male|Juvenile|Kansas|775|MGPR|Northern|4/5/14|2014|
|F582|Tympanuchus pallidicinctus|LIEBL|Female|Juvenile|Kansas|725|MGPR|Northern|4/6/14|2014|
|F583|Tympanuchus pallidicinctus|GAR 9|Male|Juvenile|Kansas|800|MGPR|Northern|4/6/14|2014|
|F584|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|675|MGPR|Northern|4/6/14|2014|
|F585|Tympanuchus pallidicinctus|EAST 2|Female||Kansas|725|MGPR|Northern|4/7/14|2014|
|F586|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|690|MGPR|Northern|4/7/14|2014|
|F587|Tympanuchus pallidicinctus|GAR 9|Male|Adult|Kansas|730|MGPR|Northern|4/7/14|2014|
|F588|Tympanuchus pallidicinctus|GAR 9|Male|Adult|Kansas|690|MGPR|Northern|4/7/14|2014|
|F589|Tympanuchus pallidicinctus|GAR 11|Female|Juvenile|Kansas|630|MGPR|Northern|4/8/14|2014|
|F590|Tympanuchus pallidicinctus|GAR 11|Female|Juvenile|Kansas|775|MGPR|Northern|4/8/14|2014|
|F591|Tympanuchus pallidicinctus|GAR 4|Female|Adult|Kansas|685|MGPR|Northern|4/8/14|2014|
|F592|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Juvenile|Kansas|710|SHGPR|Northern|4/8/14|2014|
|F593|Tympanuchus pallidicinctus|BROWN MILL|Male|Adult|Colorado|840|SSBPR|Northern|4/8/14|2014|
|F594|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|740|MGPR|Northern|4/9/14|2014|
|F595|Tympanuchus pallidicinctus|GAR 2|Female|Juvenile|Kansas|675|MGPR|Northern|4/9/14|2014|
|F597|Tympanuchus pallidicinctus|GAR 2|Female|Juvenile|Kansas|715|MGPR|Northern|4/9/14|2014|
|F598|Tympanuchus pallidicinctus|EAST 2|Female|Adult|Kansas|665|MGPR|Northern|4/9/14|2014|
|F599|Tympanuchus pallidicinctus|GAR 2|Female|Juvenile|Kansas|720|MGPR|Northern|4/9/14|2014|
|F600|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|785|MGPR|Northern|4/9/14|2014|
|F601|Tympanuchus pallidicinctus|GAR 8|Female|Juvenile|Kansas|735|MGPR|Northern|4/9/14|2014|
|F602|Tympanuchus pallidicinctus|LIEBL|Male|Adult|Kansas|770|MGPR|Northern|4/9/14|2014|
|F603|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|705|SHGPR|Northern|4/9/14|2014|
|F604|Tympanuchus pallidicinctus|GAR 2|Male|Juvenile|Kansas|775|MGPR|Northern|4/9/14|2014|
|F605|Tympanuchus pallidicinctus|GAR 2|Male|Juvenile|Kansas|800|MGPR|Northern|4/9/14|2014|
|F606|Tympanuchus pallidicinctus|GAR 2|Male|Juvenile|Kansas|780|MGPR|Northern|4/9/14|2014|
|F607|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|830|MGPR|Northern|4/10/14|2014|
|F608|Tympanuchus pallidicinctus|FLEMING 4|Male|Juvenile|Kansas|720|SHGPR|Northern|4/10/14|2014|
|F609|Tympanuchus pallidicinctus|FLEMING 4|Female|Juvenile|Kansas|725|SHGPR|Northern|4/10/14|2014|
|F610|Tympanuchus pallidicinctus|BROWN MILL|Male|Juvenile|Colorado|720|SSBPR|Northern|4/10/14|2014|
|F611|Tympanuchus pallidicinctus|GAR 2|Male|Juvenile|Kansas|745|MGPR|Northern|4/10/14|2014|
|F612|Tympanuchus pallidicinctus|GAR 2|Male|Adult|Kansas|695|MGPR|Northern|4/10/14|2014|
|F613|Tympanuchus pallidicinctus|GAR 8|Female|Juvenile|Kansas|720|MGPR|Northern|4/11/14|2014|
|F614|Tympanuchus pallidicinctus|EAST 2|Female|Juvenile|Kansas|725|MGPR|Northern|4/11/14|2014|
|F615|Tympanuchus pallidicinctus|WINDMILL|Female|Adult|Kansas|780|MGPR|Northern|4/11/14|2014|
|F616|Tympanuchus pallidicinctus|WINDMILL|Female|Juvenile|Kansas|805|MGPR|Northern|4/11/14|2014|
|F617|Tympanuchus pallidicinctus|FLEMING 4|Female|Adult|Kansas|775|SHGPR|Northern|4/11/14|2014|
|F618|Tympanuchus pallidicinctus|FLEMING 4|Male|Juvenile|Kansas|765|SHGPR|Northern|4/11/14|2014|
|F619|Tympanuchus pallidicinctus|FLEMING 3|Male|Adult|Kansas|795|SHGPR|Northern|4/11/14|2014|
|F620|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|775|MGPR|Northern|4/13/14|2014|
|F621|Tympanuchus pallidicinctus|GAR 8|Female|Juvenile|Kansas|690|MGPR|Northern|4/13/14|2014|
|F622|Tympanuchus pallidicinctus|GAR 8|Female|Juvenile|Kansas|760|MGPR|Northern|4/13/14|2014|
|F623|Tympanuchus pallidicinctus|EAST 2|Male||Kansas|750|MGPR|Northern|4/13/14|2014|
|F624|Tympanuchus pallidicinctus|EAST 2|Female|Juvenile|Kansas|727|MGPR|Northern|4/15/14|2014|
|F625|Tympanuchus pallidicinctus|DEN1|Female|Juvenile|Kansas|710|MGPR|Northern|4/15/14|2014|
|F626|Tympanuchus pallidicinctus|DEN1|Female|Juvenile|Kansas|685|MGPR|Northern|4/15/14|2014|
|F627|Tympanuchus pallidicinctus|GAR 2|Female|Juvenile|Kansas|745|MGPR|Northern|4/17/14|2014|
|F628|Tympanuchus pallidicinctus|OTTER CREEK|Male||Kansas|740|MGPR|Northern|4/17/14|2014|
|F629|Tympanuchus pallidicinctus|GAR 8|Male|Juvenile|Kansas|715|MGPR|Northern|4/17/14|2014|
|F630|Tympanuchus pallidicinctus|GAR 8|Male|Adult|Kansas|717|MGPR|Northern|4/17/14|2014|
|F631|Tympanuchus pallidicinctus|GAR 2|Male|Juvenile|Kansas|680|MGPR|Northern|4/17/14|2014|
|F632|Tympanuchus pallidicinctus|OTTER CREEK|Male|Juvenile|Kansas|670|MGPR|Northern|4/18/14|2014|
|F633|Tympanuchus pallidicinctus|BROWN MILL|Female|Adult|Colorado|715|SSBPR|Northern|4/18/14|2014|
|F634|Tympanuchus pallidicinctus|DEN1|Male|Juvenile|Kansas|715|MGPR|Northern|4/18/14|2014|
|F635|Tympanuchus pallidicinctus|BROWN MILL|Male|Adult|Colorado|755|SSBPR|Northern|4/19/14|2014|
|F636|Tympanuchus pallidicinctus|DEN1|Female|Juvenile|Kansas|675|MGPR|Northern|4/20/14|2014|
|F637|Tympanuchus pallidicinctus|WIHA|Male|Adult|Kansas|745|MGPR|Northern|4/25/14|2014|
|F638|Tympanuchus pallidicinctus|BROWN MILL|Female|Adult|Colorado|760|SSBPR|Northern|4/27/14|2014|
|F640|Tympanuchus pallidicinctus|FLEMING 1|Male|Juvenile|Kansas|670|SHGPR|Northern|10/4/14|2014|
|F641|Tympanuchus pallidicinctus|FLEMING 1|Male|Juvenile|Kansas|710|SHGPR|Northern|10/14/14|2014|
|F642|Tympanuchus pallidicinctus|B2|Male|Adult|Texas||SSOPR|Southern|||
|F647|Tympanuchus pallidicinctus|B2|Male|Adult|Texas||SSOPR|Southern|||
|F651|Tympanuchus pallidicinctus|Mcintyre|Male|Adult|Kansas|840|SHGPR|Northern|3/16/20|2020|
|F652|Tympanuchus pallidicinctus|Mcintyre|Male|Adult|Kansas|790|SHGPR|Northern|3/17/20|2020|
|F658|Tympanuchus pallidicinctus|S13-15-23|Male|Juvenile|Kansas|820|SHGPR|Northern|4/19/20|2020|
|F665|Tympanuchus pallidicinctus|SandRanch2|Male|Adult|New Mexico||SSOPR|Southern|||
|F667|Tympanuchus cupido|S13-15-23|Male|Juvenile|Kansas|850|SHGPR|Sympatric|4/19/20|2020|
|F668|Tympanuchus pallidicinctus|MeadeLauppe|Female|Juvenile|Kansas|775|MGPR|Northern|4/18/21|2021|
|F670|Tympanuchus pallidicinctus|SandRanch82|Male|Adult|New Mexico||SSOPR|Southern|||
|F675|Tympanuchus pallidicinctus|S13-15-23|Male||Kansas|700|SHGPR|Northern|4/19/20|2020|
|F92|Tympanuchus pallidicinctus|SandRanch45|Male|Adult|New Mexico||SSOPR|Southern|||
|F93|Tympanuchus pallidicinctus|B2|Male||Texas|706.5|SSOPR|Southern|||

